pricingdate,priceclose,r1,signal,prediction_state,ret,strategy,long-cash,long-short
2001-01-03,268.63385677337646,0.0120042655336403,1,1.0,0.0120042655336403,0.0120042655336403,0.0120042655336403,0.0120042655336403
2001-01-04,266.14214420318604,-0.0092754971399322,0,1.0,-0.0092754971399322,-0.0092754971399322,-0.0092754971399322,-0.0092754971399322
2001-01-05,253.1564817428589,-0.0487922065075617,0,1.0,-0.0487922065075617,-0.0,-0.0,0.0487922065075617
2001-01-08,245.3413257598877,-0.0308708508238368,0,0.0,-0.0308708508238368,-0.0,-0.0,0.0308708508238368
2001-01-09,247.0532569885254,0.0069777532314843,1,0.0,0.0069777532314843,0.0069777532314843,0.0069777532314843,0.0069777532314843
2001-01-10,252.3055715560913,0.0212598474984277,1,1.0,0.0212598474984277,0.0212598474984277,0.0212598474984277,0.0212598474984277
2001-01-11,251.09812259674072,-0.0047856611009564,0,1.0,-0.0047856611009564,-0.0047856611009564,-0.0047856611009564,-0.0047856611009564
2001-01-12,252.94338035583496,0.007348751715112,1,1.0,0.007348751715112,0.0,0.0,-0.007348751715112
2001-01-16,253.98961544036865,0.0041362422019579,1,0.0,0.0041362422019579,0.0041362422019579,0.0041362422019579,0.0041362422019579
2001-01-17,249.97079181671145,-0.015822787150921,0,1.0,-0.015822787150921,-0.0,-0.0,0.015822787150921
2001-01-18,251.1906976699829,0.0048801935794402,1,0.0,0.0048801935794402,0.0,0.0,-0.0048801935794402
2001-01-19,251.105993270874,-0.0003372115285104,0,0.0,-0.0003372115285104,-0.0,-0.0,0.0003372115285104
2001-01-22,256.6341505050659,0.022015234133534,1,0.0,0.022015234133534,0.0,0.0,-0.022015234133534
2001-01-23,266.4765567779541,0.038351896088334,1,0.0,0.038351896088334,0.0,0.0,-0.038351896088334
2001-01-24,266.1917428970337,-0.0010688140238832,0,0.0,-0.0010688140238832,-0.0,-0.0,0.0010688140238832
2001-01-25,270.6166038513184,0.0166228332484237,1,0.0,0.0166228332484237,0.0,0.0,-0.0166228332484237
2001-01-26,271.36344814300537,0.0027597873931539,1,0.0,0.0027597873931539,0.0,0.0,-0.0027597873931539
2001-01-29,275.2617788314819,0.01436571769394,1,0.0,0.01436571769394,0.01436571769394,0.01436571769394,0.01436571769394
2001-01-30,272.6614875793457,-0.0094466121056645,0,1.0,-0.0094466121056645,-0.0,-0.0,0.0094466121056645
2001-01-31,275.58147859573364,0.0107092169206266,1,0.0,0.0107092169206266,0.0107092169206266,0.0107092169206266,0.0107092169206266
2001-02-01,271.63940382003784,-0.0143045708143494,0,1.0,-0.0143045708143494,-0.0143045708143494,-0.0143045708143494,-0.0143045708143494
